Latitude,Temp,Humidity,Cloudiness,Wind Speed
60.79,53.6,71,90,9.17
31.78,70.64,83,99,1.68
19.41,75.94,34,75,11.41
66.77,62.18,53,0,3.2
22.89,89.01,52,40,19.46
32.93,79.82,76,0,15.19
-29.95,55.4,87,0,9.17
6.88,81.98,77,100,14.97
-20.31,51.8,93,0,6.93
-18.54,57.86,37,0,5.3
41.47,75.27,53,1,8.05
60.14,42.38,78,0,3.22
12.18,80.54,83,100,7.92
34.88,76.59,69,90,14.99
12.18,70.82,90,100,5.44
39.31,71.6,73,90,20.8
34.38,35.9,69,0,3.69
-6.72,67.04,52,39,7.4
-24.82,75.49,35,0,6.93
25.52,71.54,98,30,2.44
-3.99,75.68,66,69,2.64
60.91,53.6,37,0,8.05
4.14,80.18,77,100,6.89
-27.37,57.2,76,0,5.82
63.59,60.8,31,40,8.05
14.2,69.92,75,82,7.02
14.66,66.14,95,0,1.79
-26.65,53.6,93,0,16.11
20.2,78.02,71,100,4.74
21.83,80.6,78,75,9.24
35.03,82.4,65,20,6.93
32.41,76.87,78,0,4.7
-2.67,82.34,71,89,4.23
68.61,46.4,100,75,13.42
61.99,42.56,78,0,28.48
59.7,54.73,76,0,4.47
5.28,78.37,83,75,9.4
-31.54,54.26,35,0,1.28
46.22,64.4,68,20,9.17
24.34,80.6,94,20,11.41
39.24,76.76,13,0,6.73
4.89,75.14,85,82,6.11
-15.33,59.0,72,0,3.36
12.15,86.0,70,20,21.92
18.9,87.74,51,100,11.32
-28.95,58.23,82,90,6.93
-22.93,69.8,73,75,6.93
38.43,77.0,33,20,6.93
25.85,79.28,86,73,10.22
51.58,55.7,95,100,2.33
29.03,78.02,65,0,11.16
27.21,70.82,13,0,2.62
53.45,68.12,58,50,3.87
60.4,61.12,63,100,23.04
60.06,50.3,98,92,5.35
59.37,56.32,87,0,3.36
34.64,72.79,77,20,11.41
-20.3,71.9,56,0,6.38
-17.91,60.8,18,0,3.36
26.0,80.9,76,99,6.17
70.98,48.14,91,99,2.19
-43.03,48.52,75,20,8.05
45.43,77.0,45,0,5.88
51.57,60.01,58,48,7.0
-32.25,48.2,49,76,4.7
-19.79,84.2,32,75,4.7
70.66,50.0,93,75,8.05
14.69,81.41,78,40,11.41
-20.27,67.89,73,40,11.41
5.38,82.7,76,83,19.84
60.72,53.6,37,0,8.05
69.3,49.94,82,73,4.81
70.86,46.88,93,100,20.98
32.93,53.54,23,0,7.45
7.08,87.8,62,20,0.51
11.47,88.46,54,0,22.1
37.35,88.86,14,1,6.93
52.47,65.46,77,0,1.12
3.78,82.16,77,100,13.38
11.28,79.82,79,100,12.48
-22.95,63.0,76,0,1.99
28.23,78.8,88,75,4.7
-4.07,72.98,84,100,3.15
-3.75,68.48,78,98,2.77
55.21,62.6,51,75,18.34
31.86,73.34,57,0,12.68
57.8,60.02,62,100,5.35
30.8,78.92,76,66,4.72
63.83,57.79,93,75,5.82
59.1,56.24,67,53,7.72
65.58,61.82,50,40,7.27
11.67,80.9,82,100,26.26
64.25,40.4,99,100,9.08
3.75,87.2,32,25,9.89
-23.13,59.0,87,0,2.51
-13.71,66.58,30,90,6.93
66.56,39.68,75,42,3.13
-24.71,63.08,79,0,7.05
39.65,71.6,88,40,6.93
48.95,61.66,56,0,5.82
-23.72,60.76,77,0,5.82
13.8,78.01,90,50,3.0
36.96,52.28,73,0,1.34
-10.68,62.54,82,64,1.1
6.15,82.16,77,100,13.73
-2.54,77.12,90,91,2.82
-1.57,73.16,92,85,10.25
69.7,45.98,73,100,2.01
-23.67,52.28,39,0,4.41
40.95,74.52,69,0,5.82
49.22,68.41,40,1,10.29
-6.13,72.98,42,27,5.26
-3.9,79.61,74,20,13.87
63.92,61.64,56,5,8.03
20.89,83.52,48,20,17.22
34.02,62.72,97,100,2.93
50.37,56.06,98,100,3.24
27.93,75.68,76,0,2.19
29.7,68.48,81,74,6.06
49.72,71.6,43,20,18.34
29.11,54.44,23,0,1.1
49.49,52.28,78,74,1.52
-16.52,78.56,68,3,7.72
4.74,66.5,99,100,1.5
-23.87,60.74,94,0,5.46
2.04,75.32,85,76,13.85
7.19,72.26,96,100,3.29
34.7,76.17,88,40,4.7
28.27,53.18,21,0,2.57
64.84,59.88,54,1,9.28
62.11,45.26,94,70,4.47
-1.83,79.64,73,85,2.06
46.54,70.74,52,5,13.87
64.9,41.48,97,88,3.83
39.36,63.25,82,40,16.11
62.16,60.92,65,46,1.92
54.77,71.6,53,75,8.05
9.18,80.36,83,100,6.38
50.6,41.3,71,56,1.81
57.97,43.82,87,72,10.47
51.17,56.42,81,47,9.4
29.56,100.89,16,40,9.17
64.17,46.22,75,20,6.93
68.82,42.8,52,38,6.93
-7.47,75.2,88,0,6.93
-23.49,78.38,37,83,5.86
34.92,75.97,60,0,5.82
24.09,89.6,19,0,6.93
10.31,69.56,91,98,1.88
28.28,39.14,74,17,1.34
65.73,63.08,59,94,10.47
14.9,79.1,84,14,10.18
-21.61,74.24,32,0,11.34
-2.55,69.56,85,100,5.46
-12.12,72.62,75,33,1.3
-20.46,60.8,9,0,3.36
48.64,64.33,82,20,3.36
-25.24,48.2,49,0,6.93
55.14,51.94,100,0,2.17
-17.73,84.09,62,20,9.17
38.86,69.56,81,100,1.79
-21.35,68.84,63,95,5.99
-22.0,72.44,41,0,8.5
-33.73,67.39,88,75,3.36
22.3,82.99,10,59,12.3
-21.48,77.12,32,0,7.65
21.28,84.86,81,81,12.3
11.94,70.28,96,100,5.88
5.69,85.01,66,20,9.17
20.93,75.2,88,75,8.05
-0.9,79.1,79,70,2.3
47.92,65.28,88,75,5.82
7.42,76.22,81,100,3.33
-14.48,65.78,80,0,6.76
-3.44,71.54,91,100,3.33
22.57,82.52,54,13,1.52
32.13,75.2,88,75,3.36
5.67,82.16,78,100,13.38
53.79,45.0,83,0,3.65
-29.69,57.63,67,3,6.93
-5.67,75.68,86,48,19.71
26.54,86.0,79,75,12.75
16.97,77.0,88,1,10.54
-40.81,51.2,92,69,7.94
64.73,60.37,67,0,2.24
52.72,49.94,93,29,7.18
56.12,53.37,100,0,2.24
61.81,46.4,87,75,2.24
62.85,53.54,94,100,9.31
-38.19,43.48,92,17,5.01
-16.99,67.82,68,68,12.75
49.74,50.48,70,10,3.87
29.96,83.42,86,56,16.51
36.79,78.6,69,0,4.47
-26.5,49.76,39,0,2.15
50.72,63.8,79,2,2.91
-43.3,50.3,50,67,16.71
-16.98,39.14,81,5,2.33
16.38,96.8,34,20,10.29
21.35,86.88,55,75,12.75
5.79,71.0,97,100,4.54
57.51,53.18,77,100,4.41
-9.07,75.68,76,64,7.61
32.63,99.46,33,1,4.7
6.12,77.0,88,20,11.41
60.74,41.66,98,19,5.68
54.11,55.72,92,0,1.99
66.42,55.4,58,0,4.47
40.99,76.64,75,0,3.71
-2.68,75.68,94,93,2.89
65.44,34.28,96,56,3.83
6.2,75.07,94,75,3.36
4.52,65.6,96,100,2.21
-23.86,60.74,94,0,5.46
47.52,61.92,93,0,2.24
46.54,66.14,62,13,1.03
34.42,82.44,29,1,14.99
42.42,63.45,82,75,3.36
19.1,86.84,34,0,2.71
53.53,64.99,59,0,1.01
67.47,51.02,94,97,14.83
56.49,53.9,96,100,7.7
9.06,75.2,88,20,4.7
-22.41,71.74,49,0,11.41
-39.94,54.0,68,12,21.0
-15.51,77.0,65,75,10.29
-12.93,66.86,67,67,3.62
16.17,86.0,79,40,6.93
3.63,75.2,100,75,2.24
30.3,76.22,77,43,2.48
7.04,80.6,83,90,10.29
46.12,64.0,58,0,1.99
48.76,67.04,61,59,8.93
44.3,70.46,34,0,8.48
9.82,81.8,77,98,17.09
14.25,77.0,73,20,10.29
71.03,44.72,92,97,7.0
67.46,62.18,47,28,9.37
43.31,63.62,86,75,2.13
35.32,46.16,97,100,5.93
14.55,82.8,74,75,11.41
-30.51,60.56,36,0,4.94
50.36,63.73,65,0,2.57
-38.37,56.42,65,21,8.32
28.45,85.22,66,9,7.99
17.08,79.46,87,13,2.28
49.65,67.58,41,38,11.39
-4.34,85.22,57,82,3.29
44.86,62.72,35,0,4.83
7.38,71.72,89,96,3.06
53.49,69.01,64,0,7.34
-8.38,35.6,331,20,11.41
64.86,59.79,54,1,9.28
30.3,96.26,32,1,3.36
8.76,53.72,96,61,2.71
35.03,81.37,78,75,6.93
-26.79,70.82,64,73,7.76
-6.21,73.7,97,100,5.75
60.75,53.18,49,70,8.79
22.68,96.02,30,69,11.95
-29.78,62.67,34,0,4.0
57.02,53.18,89,18,5.03
8.34,77.12,87,100,9.48
6.23,77.0,88,20,11.41
-20.73,64.4,25,0,14.99
-28.58,60.92,37,42,3.83
-11.37,60.38,66,56,4.43
64.86,55.0,88,100,14.74
49.22,67.04,49,3,8.84
-5.12,76.94,73,39,1.41
34.9,73.4,88,40,13.42
45.63,75.33,44,20,3.36
52.82,59.0,59,27,6.35
35.54,62.0,98,100,2.06
-7.02,77.84,70,99,11.05
67.55,42.38,73,100,3.83
-9.05,53.0,60,13,1.32
29.36,102.9,33,1,8.05
30.57,53.72,98,100,1.01
41.53,79.95,53,0,9.17
-8.28,74.96,80,50,1.03
49.76,66.42,56,0,6.93
-7.54,76.4,69,93,14.41
69.19,48.2,93,75,11.18
54.19,66.85,88,0,3.36
51.26,78.8,41,1,9.17
